,Año,Min,Max,Mean,Std,Median
TerraClimate_tmin_2023.nc - y,2023.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmin_2023.nc - tmin,2023.0,-3.4299999999999926,26.400000000000006,16.92763372992292,5.18440753253709,
TerraClimate_ws_2011.nc - x,2011.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2011.nc - y,2011.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2011.nc - ws,2011.0,0.64,2.32,1.0465390640488887,0.1559952240470782,
TerraClimate_ws_2012.nc - x,2012.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2012.nc - y,2012.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2012.nc - ws,2012.0,0.77,2.43,1.0973607178268459,0.15854425273399966,
TerraClimate_ws_2013.nc - x,2013.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2013.nc - y,2013.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2013.nc - ws,2013.0,0.71,2.38,1.1111311917514255,0.13680780450140664,
TerraClimate_ws_2014.nc - x,2014.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2014.nc - y,2014.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2014.nc - ws,2014.0,0.76,2.49,1.1412499305963912,0.15488460852087763,
TerraClimate_ws_2015.nc - x,2015.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2015.nc - y,2015.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2015.nc - ws,2015.0,0.85,2.47,1.1717600237952126,0.15178732262917588,
TerraClimate_ws_2016.nc - x,2016.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2016.nc - y,2016.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2016.nc - ws,2016.0,0.75,2.54,1.1838020820943127,0.15998900062487253,
TerraClimate_ws_2017.nc - x,2017.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2017.nc - y,2017.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2017.nc - ws,2017.0,0.59,2.5,1.1505273646643144,0.1785662468550532,
TerraClimate_ws_2018.nc - x,2018.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2018.nc - y,2018.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2018.nc - ws,2018.0,0.4,2.29,0.7932819155267632,0.16873046570668077,
TerraClimate_ws_2019.nc - x,2019.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2019.nc - y,2019.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2019.nc - ws,2019.0,0.5,2.89,1.015852686892598,0.275227898054885,
TerraClimate_ws_2020.nc - x,2020.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2020.nc - y,2020.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2020.nc - ws,2020.0,0.7000000000000001,2.39,1.1122913146930988,0.1740234488326484,
TerraClimate_ws_2021.nc - x,2021.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2021.nc - y,2021.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2021.nc - ws,2021.0,0.7000000000000001,2.39,1.0370424945473153,0.152126209574086,
TerraClimate_ws_2022.nc - x,2022.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2022.nc - y,2022.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2022.nc - ws,2022.0,0.4,2.29,0.9948870711879465,0.1452835587750511,
TerraClimate_ws_2023.nc - x,2023.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ws_2023.nc - y,2023.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ws_2023.nc - ws,2023.0,0.7000000000000001,2.39,1.077373170730758,0.15833531760109673,
