species,longitude,latitude
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.349495,4.939093
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.491736,4.803883
Oxypogon_stuebelii,-75.263867,4.872803
Oxypogon_stuebelii,-75.26525,4.871556
Oxypogon_stuebelii,-75.262658,4.873997
Oxypogon_stuebelii,-75.262983,4.873103
Oxypogon_stuebelii,-75.264567,4.872183
Oxypogon_stuebelii,-75.262983,4.873103
Oxypogon_stuebelii,-75.265719,4.870758
Oxypogon_stuebelii,-75.264567,4.872183
Oxypogon_stuebelii,-75.263867,4.872803
Oxypogon_stuebelii,-75.263867,4.872803
Oxypogon_stuebelii,-75.26525,4.871556
Oxypogon_stuebelii,-75.264567,4.872183
Oxypogon_stuebelii,-75.262658,4.873997
Oxypogon_stuebelii,-75.264567,4.872183
Oxypogon_stuebelii,-75.489433,4.806786
Oxypogon_stuebelii,-75.263217,4.873558
Oxypogon_stuebelii,-75.263217,4.873558
Oxypogon_stuebelii,-75.263217,4.873558
Oxypogon_stuebelii,-75.263217,4.873558
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.353134,4.925586
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.26073,4.892914
Oxypogon_stuebelii,-75.27433,4.879488
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.2445,4.879232
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.34923,4.933963
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.34923,4.933963
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.3051,4.900349
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.32848,4.998237
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.34923,4.933963
