lat,lon,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,año,presencia,abundancia,especie
4.970461,-75.378474,8.774583333333334,7.485833333333335,85.35727860129234,28.17242914426957,13.269999999999996,4.5,8.769999999999996,8.991666666666669,8.583333333333332,8.991666666666669,8.583333333333332,1743.3999999999996,240.3,31.8,46.92358283121309,570.1,2013,1,1,Oxypogon stuebelii
4.820049,-75.377197,3.8420833333333344,7.187500000000001,83.28505214368488,32.21119004148845,8.420000000000002,-0.2099999999999937,8.629999999999995,4.081666666666668,3.565,4.081666666666668,3.565,1293.5,181.1,15.7,45.91366171682134,449.4,2013,1,3,Oxypogon stuebelii
4.950808,-75.354329,6.138750000000002,7.389166666666667,85.6218617226729,29.447074699082304,10.590000000000003,1.960000000000008,8.629999999999995,6.388333333333335,5.995000000000002,6.388333333333335,5.995000000000002,1466.5,208.8,23.9,46.24181204505035,502.5,2013,1,2,Oxypogon stuebelii
4.958989,-75.357692,6.495000000000002,7.413333333333335,85.40706605222744,29.45406027471692,10.97,2.2900000000000063,8.679999999999993,6.746666666666667,6.346666666666671,6.746666666666667,6.346666666666671,1496.6,208.9,25.6,45.616717065882256,506.2000000000001,2013,1,3,Oxypogon stuebelii
4.882857,-75.358658,3.365000000000002,7.1433333333333335,83.94046220133173,31.85383284106753,7.870000000000003,-0.6400000000000006,8.510000000000005,3.615000000000004,3.120000000000002,3.615000000000004,3.120000000000002,1337.5000000000002,197.9,13.0,44.33401704889261,435.2999999999999,2013,1,1,Oxypogon stuebelii
4.923768,-75.352752,4.578750000000002,7.259166666666668,85.50255202198657,30.09922825699476,9.010000000000003,0.519999999999996,8.490000000000009,4.828333333333338,4.411666666666669,4.828333333333338,4.411666666666669,1388.3000000000002,202.8,17.3,45.42688571257904,472.0999999999999,2013,1,2,Oxypogon stuebelii
4.882857,-75.358658,3.365000000000002,7.1433333333333335,83.94046220133173,31.85383284106753,7.870000000000003,-0.6400000000000006,8.510000000000005,3.615000000000004,3.120000000000002,3.615000000000004,3.120000000000002,1337.5000000000002,197.9,13.0,44.33401704889261,435.2999999999999,2013,1,2,Oxypogon stuebelii
4.975194,-75.358657,6.850833333333337,7.438333333333333,85.20427644138981,29.42846788778205,11.340000000000003,2.6099999999999994,8.730000000000004,7.103333333333339,6.698333333333338,7.103333333333339,6.698333333333338,1526.4,210.3,27.4,45.15115129816406,509.9000000000001,2013,1,1,Oxypogon stuebelii
4.980222,-75.336245,7.4020833333333345,7.474166666666666,84.93371212121215,28.934882591010314,11.909999999999997,3.1099999999999994,8.799999999999997,7.65,7.250000000000002,7.65,7.250000000000002,1541.9000000000003,212.5,28.8,45.08296229829123,525.3000000000001,2013,1,3,Oxypogon stuebelii
4.980222,-75.336245,7.4020833333333345,7.474166666666666,84.93371212121215,28.934882591010314,11.909999999999997,3.1099999999999994,8.799999999999997,7.65,7.250000000000002,7.65,7.250000000000002,1541.9000000000003,212.5,28.8,45.08296229829123,525.3000000000001,2013,1,1,Oxypogon stuebelii
4.950808,-75.354329,6.138750000000002,7.389166666666667,85.6218617226729,29.447074699082304,10.590000000000003,1.960000000000008,8.629999999999995,6.388333333333335,5.995000000000002,6.388333333333335,5.995000000000002,1466.5,208.8,23.9,46.24181204505035,502.5,2013,1,1,Oxypogon stuebelii
4.861068,-75.361685,4.093750000000003,7.214166666666668,83.69102861562256,31.93164900742424,8.64,0.019999999999996,8.620000000000005,4.340000000000001,3.835000000000001,4.340000000000001,3.835000000000001,1349.7,193.6,15.5,43.81543006153319,453.9,2013,1,1,Oxypogon stuebelii
4.979652,-75.335373,7.4020833333333345,7.474166666666666,84.93371212121215,28.934882591010314,11.909999999999997,3.1099999999999994,8.799999999999997,7.65,7.250000000000002,7.65,7.250000000000002,1541.9000000000003,212.5,28.8,45.08296229829123,525.3000000000001,2013,1,1,Oxypogon stuebelii
4.979652,-75.335373,7.4020833333333345,7.474166666666666,84.93371212121215,28.934882591010314,11.909999999999997,3.1099999999999994,8.799999999999997,7.65,7.250000000000002,7.65,7.250000000000002,1541.9000000000003,212.5,28.8,45.08296229829123,525.3000000000001,2013,1,1,Oxypogon stuebelii
4.882857,-75.358658,3.365000000000002,7.1433333333333335,83.94046220133173,31.85383284106753,7.870000000000003,-0.6400000000000006,8.510000000000005,3.615000000000004,3.120000000000002,3.615000000000004,3.120000000000002,1337.5000000000002,197.9,13.0,44.33401704889261,435.2999999999999,2013,1,2,Oxypogon stuebelii
4.950808,-75.354329,6.138750000000002,7.389166666666667,85.6218617226729,29.447074699082304,10.590000000000003,1.960000000000008,8.629999999999995,6.388333333333335,5.995000000000002,6.388333333333335,5.995000000000002,1466.5,208.8,23.9,46.24181204505035,502.5,2013,1,1,Oxypogon stuebelii
4.882857,-75.358658,3.365000000000002,7.1433333333333335,83.94046220133173,31.85383284106753,7.870000000000003,-0.6400000000000006,8.510000000000005,3.615000000000004,3.120000000000002,3.615000000000004,3.120000000000002,1337.5000000000002,197.9,13.0,44.33401704889261,435.2999999999999,2013,1,1,Oxypogon stuebelii
4.950808,-75.354329,6.138750000000002,7.389166666666667,85.6218617226729,29.447074699082304,10.590000000000003,1.960000000000008,8.629999999999995,6.388333333333335,5.995000000000002,6.388333333333335,5.995000000000002,1466.5,208.8,23.9,46.24181204505035,502.5,2013,1,1,Oxypogon stuebelii
